result_group,item,status,source_path,copied_path,seeds,raw_available,script_available,quoted_value_matches,notes
mujoco_sensitivity,"One-factor sweep raw data, 11 envs",FOUND_VERIFIED,results/neurips_2026_rebuttal/mujoco_sensitivity/aggregates/far_sensitivity_raw.csv,revision_results/mujoco_sensitivity/far_sensitivity_raw.csv,"27 (0-11,13,17,19,23,29,31,37,41,42,100,123,200,314,404,500)",yes,yes,n/a,"14520 rows, 11 envs, 7 factors, status=='ok' on every row. Task brief says '20-seed'; the data has 27 seeds and no 20-seed snapshot exists anywhere."
mujoco_sensitivity,Factor: perturbation scale,FOUND_VERIFIED,far_sensitivity_raw.csv factor=='scale',revision_results/mujoco_sensitivity/far_sensitivity_raw.csv,27,yes,yes,n/a,"7 values 0.25x-4.0x relative to each env's anchor scale; 2051 rows."
mujoco_sensitivity,Factor: perturbation rank K,FOUND_VERIFIED,far_sensitivity_raw.csv factor=='rank',revision_results/mujoco_sensitivity/far_sensitivity_raw.csv,27,yes,yes,n/a,"K in {1,2,5,10,15,20,30,40}; 2344 rows; anchor K=20."
mujoco_sensitivity,Factor: bootstrap fraction,FOUND_VERIFIED,far_sensitivity_raw.csv factor=='bootstrap',revision_results/mujoco_sensitivity/far_sensitivity_raw.csv,27,yes,yes,n/a,"9 values 0.0-0.99; 2637 rows; pool 4096."
mujoco_sensitivity,Factor: ridge lambda,FOUND_VERIFIED,far_sensitivity_raw.csv factor=='ridge',revision_results/mujoco_sensitivity/far_sensitivity_raw.csv,27,yes,yes,n/a,"9 values 0 to 1.0 incl. 1e-05; 2637 rows."
mujoco_sensitivity,Effective correction size / calibration pool,FOUND_VERIFIED,far_sensitivity_raw.csv factor=='calib',revision_results/mujoco_sensitivity/calibration_pool_curves.csv,27,yes,yes,n/a,"N in {512,1024,2048,4096,8192} at each env's anchor bootstrap fraction; 1465 rows."
mujoco_sensitivity,"Metrics ID RMSE, ID NLL, Near/Mid/Far NLL, Near/Mid/Far AUROC",FOUND_VERIFIED,far_sensitivity_raw.csv columns,revision_results/mujoco_sensitivity/far_sensitivity_raw.csv,27,yes,yes,n/a,"Mid columns populated only for Ant/HalfCheetah/Hopper/Humanoid."
mujoco_sensitivity,Near/Mid Spearman correlation,MISSING,-,-,-,no,no,n/a,"Only far_spearman is computed and stored. Near- and Mid-tier Spearman were never produced by this harness."
mujoco_sensitivity,sharp/flat/materially-worse cell classification,MISSING,-,revision_results/mujoco_sensitivity/cell_classification.csv,27,yes,"no (original); yes (reconstruction)",NO,"No script anywhere produces the quoted counts (0/38/6, 0/44/0, 4/31/9, 0/43/1). Cell structure confirmed (44 = 11 envs x 4 metrics). Six candidate rules tried; best total L1 error 122 cells. See classification_rule_sweep.csv."
mujoco_sensitivity,Seed-paired differences with 95% CI,PARTIAL,-,revision_results/mujoco_sensitivity/seed_paired_differences_ci95.csv,27,yes,"no (original); yes (derived here)",n/a,"No original paired-difference artifact exists. Derived here from the raw per-seed data."
mujoco_sensitivity,Practical tolerance definitions (AUROC 0.02 / RMSE 5% / NLL 0.10),MISSING,-,revision_results/provenance/verify_mujoco_sensitivity.py,-,n/a,no,n/a,"These thresholds appear only in the rebuttal text; no config, script or report in the repo defines them."
mujoco_sensitivity,Full bootstrap-fraction double-descent curves,FOUND_VERIFIED,far_sensitivity_raw.csv factor=='bootfull' + aggregates/far_bootfull_raw.csv,revision_results/mujoco_sensitivity/bootstrap_double_descent_curves.csv,27,yes,yes,n/a,"10 values 0.0-0.99, 2800 rows. NOTE: run at calibration_pool_size=10000 whereas every other factor used 4096."
mujoco_sensitivity,"Calibration pool x bootstrap at FIXED effective correction size",PARTIAL,results/neurips_2026_rebuttal/mujoco_sensitivity/CALIB_FIX_VALIDATION.md,revision_results/mujoco_sensitivity/CALIB_FIX_VALIDATION.md,27,yes,yes,n/a,"The confound (earlier calib sweep forced bootstrap off) was identified and fixed, but the corrected sweep varies N at fixed bf, so bf*N is NOT held fixed. A true 2-D grid holding effective correction size constant was never run."
mujoco_sensitivity,Interpolation threshold vs bias-augmented correction dimension,FOUND_VERIFIED,"far_sensitivity_raw.csv columns feature_dimension_p, nominal_n_over_p, unique_n_over_p",revision_results/mujoco_sensitivity/interpolation_threshold_peaks.csv,27,yes,yes,n/a,"p = 201 = 200 hidden units + 1 bias column. Peaks in ID RMSE align with n/p ~ 1."
mujoco_sensitivity,Sampling-with-replacement analysis,FOUND_VERIFIED,"far_sensitivity_raw.csv columns per_member_calibration_size, unique_calibration_rows",revision_results/mujoco_sensitivity/bootstrap_double_descent_curves.csv,27,yes,yes,n/a,"Nominal draw size vs distinct rows recorded per run; ensembles.py:374-375 confirms replace=True per member."
mujoco_sensitivity,Aggregation scripts,FOUND_VERIFIED,results/neurips_2026_rebuttal/mujoco_sensitivity/scripts/,revision_results/mujoco_sensitivity/script_*.py,n/a,yes,yes,n/a,"run_sensitivity.py, aggregate_far.py, aggregate.py, gen_data.py, merge_bootfull.py, far_plots.py, plots.py."
cifar_sensitivity,One-factor sensitivity (block/scale/rank/subset/ridge),MISSING,-,revision_results/cifar_sensitivity/OTHER_MACHINE_run_cifar_sensitivity.sh,-,no,yes,NO,"Executed on a different machine (user-confirmed). This machine has no CIFAR base checkpoints and no OpenOOD data; nothing was copied back. The launcher script and anchor definition are here."
cifar_sensitivity,Cross-product target block x scale x bootstrap fraction,MISSING,-,-,-,no,"partial (coordinate-descent launcher only)",NO,"The prepared design is explicitly coordinate descent (one factor at a time). No joint grid was ever specified or run. Do NOT present coordinate descent as joint coverage."
cifar_sensitivity,"Per-checkpoint accuracy, ID NLL, ECE, Near/Far AUROC and FPR95",PARTIAL,results/cifar10/*.json @ git HEAD 70fb480,revision_results/cifar_sensitivity/cifar10_openood_recovered_from_git.csv,"0,1,2 (varies by config)",yes,yes,NO,"Submission-era results only, recovered from git (all 137 files are deleted in the working tree). Rebuttal-era CIFAR numbers do not reproduce from them."
