result_group,item,status,source_path,copied_path,seeds_or_checkpoints,raw_available,script_available,quoted_value_matches,notes
headline_results,CIFAR-10 OpenOOD table (12 methods),FOUND_VERIFIED,results/cifar10/openood_v1p5_*_seed{0-2}.json,headline/HEADLINE_TABLE.md,3 (seeds 0/1/2),yes,yes (openood_eval.py),yes (means exact; std ddof0 vs ddof1),Full manuscript table reproduces exactly; P&C row = s3b0
scod_raw,SCOD per-seed metrics,FOUND_VERIFIED,results/scod_cifar/metrics/seed{0-2}_metrics.json,scod/seed{0-2}_metrics.json,3,yes,yes (experiments/scod_cifar/),yes,tempered_k10_Meps5000 variant
scod_aggregate,SCOD 3-seed aggregate,FOUND_VERIFIED,results/scod_cifar/tables/scod_aggregate.json,scod/tables/scod_aggregate.json,3,yes,yes,yes (95.74/89.69/39.40/92.56/21.41 exact),Matches quoted exactly
pnc_matched_comparison,P&C row vs SCOD (quoted 90.99/94.83),FOUND_CONFLICTING,results/cifar10/openood_v1p5_pnc_single_block_vcal_{s3b0,s3b1}_..._seed{0-2}.json,scod/SCOD_MATCHED_COMPARISON.md,3,yes,yes,partial,Quoted 90.99/94.83 = s3b1; canonical/manuscript pairing = s3b0 (91.55/95.09). Both valid; do not mix.
block_scope,Target-block sweep (early/mid/late + 6-block grid),FOUND_VERIFIED,results/neurips_2026_rebuttal/cifar/sensitivity_cifar_agg.csv + pnc_full_grid,block_scope/BLOCK_SCOPE.md,3,yes,yes,yes (Acc 94.76-95.59; Near 89.3-91.6; Far 92.0-95.1),ID-val-NLL selection; s3b0 optimal
scale_sensitivity,Perturbation scale sweep,FOUND_VERIFIED,results/neurips_2026_rebuttal/cifar/{sensitivity_cifar_agg.csv,sweep_scalex_boot_summary.md},sensitivity/,3,yes,yes,yes,ps25 optimal; ps>=50 collapse
bootstrap_sensitivity,Bootstrap fraction sweep,FOUND_CONFLICTING,results/neurips_2026_rebuttal/cifar/sweep_scalex_boot_summary.md + pnc_full_grid,sensitivity/SENSITIVITY.md,3,yes,yes,partial,bf0.1 catastrophic in scalex_boot harness but stable in full grid; conditioning instability
rank_sensitivity,Perturbation rank K sweep,FOUND_VERIFIED,results/neurips_2026_rebuttal/cifar/sensitivity_cifar_agg.csv,sensitivity/sensitivity_cifar_agg.csv,3,yes,yes,yes,flat above ~K5
ridge_sensitivity,Ridge lambda sweep,FOUND_VERIFIED,results/neurips_2026_rebuttal/cifar/sensitivity_cifar_agg.csv,sensitivity/sensitivity_cifar_agg.csv,3,yes,yes,yes,flat lambda>=1e-3; lambda=0 singular
joint_block_scale_bootstrap,Full 6x3x3 cross-product,FOUND_VERIFIED,results/neurips_2026_rebuttal/cifar/pnc_full_grid/,joint_selection/,3 (162 runs),yes,yes (experiments/pnc_grid/),yes,FULL_CROSS_PRODUCT_FOUND; global optimum == coord-descent s3b0/ps25/bf0.05 (rank 1/54; regret 0)
base_training_time,Base ResNet-18 300ep,FOUND_VERIFIED,experiments/logs/cifar10_finish_20260427_223643.log:534,efficiency/base_training_time_evidence.txt,seed0 (representative),yes (log),n/a,yes (8010s),MEASURED; NOT in checkpoint pickle
pnc_construction_time,P&C post-hoc construction,PARTIAL,results/neurips_2026_rebuttal/cifar/CIFAR_EFFICIENCY_ACCOUNTING.md,efficiency/CONSTRUCTION_TIMING_AUDIT.md,3,partial,yes,partial,~100s = DERIVED/UPPER_BOUND (826-723.5 residual); ~65s netted; no line-item breakdown
deep_ensemble_training_time,Deep Ensemble train,PARTIAL,CIFAR_EFFICIENCY_ACCOUNTING.md,efficiency/CONSTRUCTION_TIMING_AUDIT.md,n/a,no,n/a,n/a,DERIVED only (5x/50x base 8010s); no standalone timer
swag_timing,SWAG construction + training,FOUND_VERIFIED,results/neurips_2026_rebuttal/cifar/swag_construction_time.json,efficiency/swag_construction_time.json,3,yes,yes (_swag_construction_time.py),yes,construction 55.8+-5.06s MEASURED; training DERIVED from mtimes
laplace_timing,LLLA construction,PARTIAL,results/cifar10/baseline_llla_*_seed*.json,efficiency/CONSTRUCTION_TIMING_AUDIT.md,3,yes,n/a,yes,total 15.56+-0.30s MEASURED; GGN/inverse/Cholesky split MISSING
matched_m_inference,Matched-M inference latency,FOUND_CONFLICTING,results/cifar10/inference_cost.json + peak_memory/,inference/INFERENCE_AUDIT.md,seed0,yes,yes (_efficiency_table.py),partial,7.42=s3b1 (shipped table) vs 7.53=s3b0 (anchor); DE 7.26. No-advantage claim SUPPORTED; single-run means only
persistent_storage,On-disk sizes,FOUND_VERIFIED,ls + CIFAR_EFFICIENCY_ACCOUNTING.md,storage_memory/STORAGE_MEMORY_AUDIT.md,n/a,yes,yes,yes,base 42.66MiB; SWAG 980MiB; SCOD sketch 852MiB
resident_gpu_memory,Resident GPU memory,FOUND_VERIFIED,results/neurips_2026_rebuttal/cifar/peak_memory/,storage_memory/peak_memory/,seed0,yes,yes (_peak_memory_bench.py),yes,MEASURED for 11 methods (2026-07-26 run)
peak_gpu_memory,Peak GPU memory,FOUND_VERIFIED,results/neurips_2026_rebuttal/cifar/peak_memory/,storage_memory/peak_memory/,seed0,yes,yes,yes,MEASURED; efficiency_cifar_table footer stale (says not captured)
temperature_scaling,ID-only temperature protocol,FOUND_VERIFIED,openood_eval.py + util.py,configs/CIFAR_INFERENCE_PROTOCOL.md,n/a,n/a,yes,n/a,one scalar T per config on ID-val; same T all members; predictive entropy
correction_split,1024 correction subset provenance,FOUND_VERIFIED,cifar_tasks.py + pnc.py + util.py,configs/CIFAR_DATA_SPLITS.md,n/a,n/a,yes,n/a,1024 from 45k train-fit; no replacement; no labels; no val/OOD leakage
openood_tiers,Near/Far split definitions,FOUND_VERIFIED,results/cifar10/openood_v1p5_*_seed*.json (per_dataset keys),configs/CIFAR_INFERENCE_PROTOCOL.md,3,yes,yes,yes,Near={cifar100,tiny_imagenet} Far={mnist,svhn,textures,places365}
