item,benchmark,value_as_coded,source_file_line,verified_how,notes
MuJoCo correction pool size,MuJoCo,4096 (luigi default subset_size),pnc_core/gym_tasks.py:635; :727; :1245,read from code,"Wrapper AllGymExperimentsMultiSeed overrides to 10000 (pnc_core/gym_tasks.py:1604). anchors.json pins 4096 for the corrected per-env anchor; the earlier priority1 anchor used 10000. BOTH values appear in rebuttal-era artifacts - see RESULTS_AUDIT conflicts."
MuJoCo correction pool sampling,MuJoCo,np.random.choice(..., replace=False),pnc_core/gym_tasks.py:679; :879; :1311,read from code,Sampling WITHOUT replacement confirmed. Capped at min(len(id_train), subset_size).
MuJoCo per-member bootstrap sampling,MuJoCo,"size_b = max(8, int(bootstrap_frac * N)); rng.choice(N, size_b, replace=True)",pnc_core/ensembles.py:374-375; :519-525,read from code,"Sampling WITH replacement, independently per member. bootstrap_frac therefore sets BOTH the resample size and the number of with-replacement draws; it is not a count of distinct examples. Columns per_member_calibration_size (nominal) and unique_calibration_rows (distinct) in far_sensitivity_raw.csv quantify the gap."
CIFAR correction pool size,CIFAR-10,1024 (luigi default subset_size),pnc_core/cifar_tasks.py:1230; :1377; :1617; :2244,read from code,
CIFAR correction pool source split,CIFAR-10,"drawn from train-fit split x_tr via rng.choice(len(x_tr), actual_sub, replace=False)",pnc_core/cifar_tasks.py:1281; :1449; :404; :479,read from code,"Overlaps base-model training data: the base trains on the same x_tr. Only the 10% x_va is held out."
Train/validation split,both,"val_split=0.1, seed=99",pnc_core/util.py:422-425,read from code,Same deterministic split for base training and P&C selection.
MuJoCo test split,MuJoCo,id_eval = separate expert-v0 Minari draw (seed+1),pnc_core/data.py Minari loaders; INVENTORY.md 2,read from code + inventory,Distinct from id_train.
OOD data used for tuning,both,No,"pnc_core/json_to_tex_table.py:49-51 (MuJoCo size by nll_val); pnc_core/util.py:159-207 (CIFAR T on ID val)",read from code,"Corroborated by per-result protocol flags ood_validation_used=false / ood_tuning_used=false recorded in every CIFAR OpenOOD JSON (see cifar_sensitivity/cifar10_openood_recovered_from_git.csv) and by used_ood_for_selection=false in every SCOD _metrics.json."
MuJoCo predictive distribution,MuJoCo,"moment-matched diagonal Gaussian: mu = mean_m(mean_m); Sigma = mean_m(var_m) + Var_m(mean_m)",pnc_core/util.py:112-120,read from code,Law of total variance. Diagonal-Gaussian NLL with 1e-6 variance floor (pnc_core/metrics.py:7-15).
MuJoCo OOD score,MuJoCo,per-point total predictive variance mean_d(Sigma_diag),pnc_core/util.py:256; :304-305,read from code,Deterministic base collapses this to variance over member means (epistemic disagreement).
CIFAR member combination,CIFAR-10,mean of per-member softmax probabilities (not mean logit),pnc_core/util.py:560; pnc_core/openood_eval.py:24-28,read from code,
CIFAR OOD score,CIFAR-10,predictive entropy of the ensemble-mean softmax,pnc_core/openood_eval.py:24-29; default primary_score :106,read from code,"MSP, energy, margin, mutual information and variation ratio are also computed and stored but are not the headline score."
CIFAR temperature scaling,CIFAR-10,"single scalar T applied to each member's logits before softmax; fit by golden-section on ID-validation NLL only",pnc_core/util.py:159-207,read from code,"posthoc_calibrate default False in CIFARPnC (T=1.0), True in the paper-protocol selector. Recovered result JSONs record the fitted T per run (0.96-1.26)."
MuJoCo variance calibration (VCal),MuJoCo,single scalar variance_scale fit on the held-out ID split,pnc_core/util.py:_fit_posthoc_variance_scale (~:126),read from code,Monotone rescaling - changes NLL/ECE but not AUROC ranking.
CIFAR OOD grouping,CIFAR-10,"Near = {CIFAR-100, Tiny-ImageNet-200}; Far = {MNIST, SVHN, Textures, Places365}; no Mid group",pnc_core/data.py:634+ (OPENOOD_CIFAR_BENCHMARKS); pnc_core/openood_eval.py:143,read from code,
MuJoCo OOD tiers,MuJoCo,ID=expert-v0; Near=medium-v0; Mid=simple-v0; Far=pure_random (uniform action sampling),pnc_core/data.py:56-78,read from code,"Only 6 of 11 envs have a `simple` dataset, so 5 lack a distinct Mid tier - see shift_tiers/mid_tier_availability.csv."
Single-block P&C parameter set (MuJoCo),MuJoCo,"perturb W0 (W0 + sum_k z_k v_k); re-solve (W1, b1) by LS/ridge on X_sub; everything downstream frozen",pnc_core/ensembles.py:538; :575-576; :695,read from code,layer_scope='first' -> perturb_indices=[0].
Multi-block P&C parameter set (MuJoCo),MuJoCo,"perturb layers [0,2]; correct at [1,3]; sequential ascending; each target is the UNPERTURBED model's pre-activation at the correction layer",pnc_core/ensembles.py:528; :530-582; :542-546,read from code,"layer_scope='multi' is the wrapper default (pnc_core/gym_tasks.py:1684). Output head never perturbed."
Single-block P&C parameter set (CIFAR),CIFAR-10,"perturb block conv1 kernel (w1_pert = w1_orig + p); re-solve conv2 weight AND a new bias by ridge; BN1/BN2 inference-mode, BN2 absorbed into the conv2 fit",pnc_core/ensembles.py:1651; pnc_core/pnc.py:246-259; pnc_core/cifar_tasks.py:133-152; :1302,read from code,"Default target = stage 4 / block 1 (target_stage_idx=3, target_block_idx=1; pnc_core/cifar_tasks.py:1232-1233), filename tag s3b1."
Ensemble size M (MuJoCo headline),MuJoCo,50,anchors.json ensemble_size_M; pnc_repro/figures/appendix_selected_hparams_paper.txt,read from config,Standalone GymPJSVD default is 1000; AllGymExperiments wrapper 128; MultiSeed 100.
Ensemble size M (CIFAR headline),CIFAR-10,50,pnc_core/cifar_tasks.py:1229 (n_perturbations); recovered result filenames `_n50_`,read from code + filenames,Some sweeps used n25.
Deep Ensemble size (CIFAR baseline),CIFAR-10,5,pnc_core/cifar_tasks.py:604 CIFARStandardEnsemble n_models,read from code,"Reported CIFAR DE train_time is checkpoint-load only; it EXCLUDES the 5 base trainings."
Deep Ensemble size (MuJoCo matched),MuJoCo,50,revision_results/efficiency/efficiency_v2_rows.csv n_trained_nets,read from measured artifact,Matched-M accounting; 50 nets actually trained.
Ridge solver,both,"lambda=0 -> min-norm jnp.linalg.lstsq (pseudoinverse); lambda>0 -> solve(h^T h + lambda I, h^T target), bias row regularized identically",pnc_core/ensembles.py:146; :165,read from code,"Working-tree flag ridge_toward_orig shrinks toward the original weights instead of zero; anchors.json sets ridge_center='original' but far_sensitivity_raw.csv records ridge_center='zero' - see RESULTS_AUDIT conflicts."
