slug,original_path,needed_by,description,status,n_files,total_bytes,total_megabytes,newest_mtime_utc,manifest_file,manifest_sha256
scod_predictions,results/posthoc_mujoco/scod/predictions,scod,SCOD per-example ID/Near/Mid/Far scores (parquet + npz) for 11 envs x 3 seeds,PRESENT,213,590231869,590.23,2026-08-03T07:09:31.865295+00:00,revision_results/provenance/large_artifact_checksums/scod_predictions.sha256,b08f1fe4ee257f34d011a5b168d486ba48024fe310d93aa6ec8b6a97c6725193
scod_sketches,results/posthoc_mujoco/scod/sketches,scod,SCOD Nystrom Fisher sketches per env-seed,PRESENT,33,4400460738,4400.46,2026-08-03T07:11:32.657630+00:00,revision_results/provenance/large_artifact_checksums/scod_sketches.sha256,b3683e59d8da6030ec061796b375d1873c6d59492175a953b03e548272767b2d
scod_configs,results/posthoc_mujoco/scod/configs,scod,SCOD run configurations per env-seed,PRESENT,33,21614,0.02,2026-07-27T01:50:59.475058+00:00,revision_results/provenance/large_artifact_checksums/scod_configs.sha256,dacdcdbea9f43256b5a2066315f8d6916287d6202d79043359bcd15bdd00bf9a
scod_timing,results/posthoc_mujoco/scod/timing,scod/efficiency,SCOD wall-clock timing records,PRESENT,33,6106,0.01,2026-07-27T01:50:59.871058+00:00,revision_results/provenance/large_artifact_checksums/scod_timing.sha256,2f9009407055adc3eee87bc94827043b71863ca6294c9204d219a904faae1ae6
pnc_theory_base_models,artifacts/pnc_theory/base_models,finite_scale_validation,Frozen MuJoCo base MLPs used by the finite-scale theory validation,PRESENT,41,28973794,28.97,2026-07-29T20:15:28.848078+00:00,revision_results/provenance/large_artifact_checksums/pnc_theory_base_models.sha256,2cfd5ad8cdbae9fb8530b2bcfb3b5ae8d79310dc01db3c9346e1d24837850e35
posthoc_base_models_backup,archive/artifacts_backup,scod,Regenerated canonical base-model batch backing every SCOD run,PRESENT,2,20981941,20.98,2026-07-26T19:16:06.392771+00:00,revision_results/provenance/large_artifact_checksums/posthoc_base_models_backup.sha256,f83cc596f8ea6f903235ea0f73818a59920dadccebf7dc73d44ab8dc4a0d892a
distilbert_checkpoint,results/banking77_distilbert_pnc/checkpoint,distilbert,Flax-converted DistilBERT Banking77 checkpoint + tokenizer,PRESENT,10,269023332,269.02,2026-07-27T00:07:51.101841+00:00,revision_results/provenance/large_artifact_checksums/distilbert_checkpoint.sha256,7a4dd31cdcdd5f5e38d09261e88d634f867072c506a326072a029d5398fbbb34
distilbert_members,results/banking77_distilbert_pnc/members,distilbert,Per-seed corrected lin2 weights for the 5 P&C construction seeds,PRESENT,16,876034179,876.03,2026-08-03T07:09:11.161431+00:00,revision_results/provenance/large_artifact_checksums/distilbert_members.sha256,6da54b5d3cf396fdf08f9da08fdacaa2227a16ff20bc916ed07d91a8f3bb4481
distilbert_predictions,results/banking77_distilbert_pnc/predictions,distilbert,Per-method per-example logits/scores on Banking77 test + CLINC tiers,PRESENT,175,2397318,2.4,2026-07-27T18:13:16.057023+00:00,revision_results/provenance/large_artifact_checksums/distilbert_predictions.sha256,af2e02e0126b916601dd0eb33257d95d99d6ca092582ed083429b4a3911642ba
finite_transfer_tier1_v2,artifacts/finite_transfer/mujoco_tier1_v2,finite_scale_validation,Per-example finite-transfer detail and example tables,PRESENT,2,27780588,27.78,2026-07-29T23:31:13.135054+00:00,revision_results/provenance/large_artifact_checksums/finite_transfer_tier1_v2.sha256,618d66f2af775d5db6cfa861e71bb2193e51e27730456aca3002352d4f321a2e
mujoco_sensitivity_raw_json,results/neurips_2026_rebuttal/mujoco_sensitivity/raw,mujoco_sensitivity,Per env-seed sensitivity sweep outputs (573 files) feeding far_sensitivity_raw.csv,PRESENT,573,6191497,6.19,2026-07-25T23:29:39.022947+00:00,revision_results/provenance/large_artifact_checksums/mujoco_sensitivity_raw_json.sha256,b15f29d511421ba105d98845ea8c96cd2ef9509531e9a37e5f907cfa389c3eb5
mechanism_pnc_npz,results/neurips_2026_rebuttal/priority3/pnc,mechanism,P&C ensembles used by the HalfCheetah/Hopper mechanism replication,PRESENT,10,2883685,2.88,2026-08-03T07:09:15.193258+00:00,revision_results/provenance/large_artifact_checksums/mechanism_pnc_npz.sha256,6851c0a791416f15d5bea7e112140067e8edba6484aab53a363e56d037db8305
